OBJECTID,CSA2010,nohhint17,nohhint18,SHAPE_Length,SHAPE_Area
1,Allendale/Irvington/S. Hilton,30.6332842415316,27.4868247694334,38770.1655711966,63770461.7790932
2,Beechfield/Ten Hills/West Hills,27.4816349595027,26.8778452200303,37524.9505333862,47882527.7112373
3,Belair-Edison,26.6886326194398,21.5196078431372,31307.3148434905,44950030.4722053
4,Brooklyn/Curtis Bay/Hawkins Point,34.1425039334681,31.9275727710291,150987.70363871,176077742.748461
5,Canton,9.25879079180369,8.30530401034928,23338.6119476392,15408538.2249734
6,Cedonia/Frankford,21.2745098039215,17.6992119089317,39962.5498346887,71541340.306082
7,Cherry Hill,38.587137620793,33.8181818181818,22305.3020666774,29144181.351516
8,Chinquapin Park/Belvedere,17.1926660655245,13.5753508236729,21705.411630324,21022590.1303212
9,Claremont/Armistead,30.3246013667426,27.7869757174392,40104.4159801772,61243774.4204004
10,Clifton-Berea,34.8909657320872,32,24022.7646207856,23285233.9251306
11,Cross-Country/Cheswolde,15.9895414320193,18.5004868549172,26788.3018784185,38222018.3165464
12,Dickeyville/Franklintown,30.6896551724137,33.0148619957537,31637.8174238148,35719112.414486
13,Dorchester/Ashburton,32.4082784571966,29.5040369088811,27136.0757115223,34118277.1815219
14,Downtown/Seton Hill,11.2779824312836,8.53333333333333,21565.8593945388,20736554.4071934
15,Edmondson Village,29.7078493488208,25.0704225352112,21504.5513578719,23563061.0426838
16,Fells Point,10.1740294511378,8.55555555555555,27670.1699158504,12620515.7178779
17,Forest Park/Walbrook,31.2310797174571,27.0964614638875,36886.899781185,37200535.0297002
18,Glen-Fallstaff,30.8233088579909,27.3745737944471,48549.0046179359,46995477.4779553
19,Greater Charles Village/Barclay,20.9868831980012,17.1567856581223,26454.2692113378,27051213.4555493
20,Greater Govans,21.6101694915254,20.1208763535633,22982.1257150065,22698495.7172767
21,Greater Mondawmin,37.098804279421,33.6919766369505,31136.7318903894,33663448.2791136
22,Greater Roland Park/Poplar Hill,4.46400502986482,4.31447746883988,39862.7497953315,56688145.179702
23,Greater Rosemont,35.5961112058673,34.6008258774948,32559.0762212062,42204384.5422658
24,Greenmount East,42.4346629986244,38.6537126995142,20797.473457859,19072287.8238042
25,Hamilton,14.6956184567661,13.2019115890083,27712.1110914795,45191100.5593894
26,Harbor East/Little Italy,20.8071748878923,17.8781038374717,18552.4075815481,10215859.0840198
27,Harford/Echodale,16.1462979482604,13.7180843027647,40019.1854001864,65360039.1701278
28,Highlandtown,16.8952436533411,15.4497663551401,14976.1238513953,11684191.1190149
29,Howard Park/West Arlington,33.3821733821733,25.8650306748466,36034.4984469622,63262430.0731008
30,Inner Harbor/Federal Hill,9.32305832577818,8.82579848788767,43415.0595477941,24995836.2620936
31,Lauraville,16.9540873460246,11.5304468626997,34419.6765281197,49665744.2382935
32,Loch Raven,24.9661603248608,23.885302507131,29314.3346718106,44147812.3259686
33,Madison/East End,30.7437233538607,25.6109481915933,13120.1587193821,8897845.19137351
34,Medfield/Hampden/Woodberry/Remington,14.6210333071072,12.5968992248062,43152.6256992199,62441489.2397897
35,Midtown,16.051618745755,11.9982058757568,25020.0969697781,23823949.929494
36,Midway/Coldstream,36.1853229624619,38.7482900136798,22767.8274161691,17884471.2860874
37,Morrell Park/Violetville,33.4660134721371,30.9002433090024,44412.7451302931,67470845.9897077
38,Mount Washington/Coldspring,12.1303043291898,10.2763385146804,38539.7661484923,56943058.650076
39,North Baltimore/Guilford/Homeland,10.0166389351081,9.01485402082977,42904.2221443837,74923987.6939622
40,Northwood,18.822886297376,18.6673909107369,38889.8945910241,52743271.7685975
41,Oldtown/Middle East,40.5244928253339,34.5309381237525,23866.328178856,24585968.2339966
42,Orangeville/East Highlandtown,24.3243243243243,23.2137563000296,47825.8629265765,89894372.2114828
43,Patterson Park North & East,18.6565752128666,16.3087637840975,21786.3746600731,14507643.2040733
44,Penn North/Reservoir Hill,31.2369459271292,29.209954095192,29078.8384985474,41059796.6771503
45,Pimlico/Arlington/Hilltop,40.9113545816733,38.3153569594247,24725.9340693497,30400962.0052273
46,Poppleton/The Terraces/Hollins Market,30.1291248206599,27.2509578544061,12334.0275347364,9302012.99882708
47,Sandtown-Winchester/Harlem Park,37.8755364806867,39.863074204947,20987.1433066415,23672092.8680536
48,South Baltimore,7.89957134109001,6.03101665709362,68440.0258267645,46353935.42529
49,Southeastern,30.2690582959641,23.8738738738738,102291.480547452,111251478.472831
50,Southern Park Heights,36.6528066528066,35.2599914052428,24052.2213722085,27876227.5906738
51,Southwest Baltimore,37.0325693606755,31.6143497757847,28355.5635813649,37766068.8367913
52,The Waverlies,26.5729993891264,23.9987581496429,18733.8268797396,20383750.5443637
53,Upton/Druid Heights,38.9830508474576,35.3782167923056,19389.3078211947,16976622.3381282
54,Washington Village/Pigtown,23.2191163210099,16.7173252279635,36962.2600947345,39343262.0375946
55,Westport/Mount Winans/Lakeland,28.9115646258503,26.15518744551,42573.1244161893,45494092.9497963
